participant_id,condition,pointer_type,mouse_start_x_position,mouse_start_y_position,mouse_clicked_x_position,mouse_clicked_y_position,distance_to_start_position,circle_count,circle_size,is_circle_clicked,is_target,task_completion_time_in_ms,timestamp
1,1,normal,30,574,633,435,618.8133805922428,20,100,True,True,849.544,2021-05-12 13:17:47.390043
1,1,normal,23,566,772,679,757.4760722293477,20,100,True,True,648.2320000000002,2021-05-12 13:17:48.893758
1,1,normal,28,570,877,400,865.85275884529,20,100,True,True,1258.421,2021-05-12 13:17:51.077735
1,1,normal,23,572,666,211,737.4076213330047,20,100,True,True,762.691,2021-05-12 13:17:52.733974
1,1,normal,18,581,893,469,882.1388779551663,20,100,True,True,734.26,2021-05-12 13:17:54.381754
1,2,normal,16,576,313,307,400.71186655750535,75,50,False,False,,2021-05-12 13:17:56.133620
1,2,normal,16,576,869,448,862.5502883890308,75,50,True,True,1109.763,2021-05-12 13:17:56.429864
1,2,normal,30,588,625,388,627.7141068989928,75,50,True,True,681.543,2021-05-12 13:17:57.933878
1,2,normal,19,585,673,184,767.148616631745,75,50,True,True,793.0840000000002,2021-05-12 13:17:59.749863
1,2,normal,27,571,741,633,716.686821422021,75,50,True,True,732.084,2021-05-12 13:18:01.525785
1,2,normal,25,582,873,363,875.822470595497,75,50,True,True,631.266,2021-05-12 13:18:02.941883
1,3,normal,36,573,781,657,749.7206146292096,20,100,True,True,655.0550000000002,2021-05-12 13:18:04.653798
1,3,normal,12,577,904,446,901.5680784056187,20,100,True,True,570.506,2021-05-12 13:18:06.037837
1,3,normal,18,579,887,397,887.8541546898341,20,100,True,True,622.0020000000002,2021-05-12 13:18:07.533854
1,3,normal,34,568,641,399,630.0872955392769,20,100,True,True,628.7869999999999,2021-05-12 13:18:08.989907
1,3,normal,25,576,700,249,750.0359991360414,20,100,True,True,697.7149999999998,2021-05-12 13:18:10.557903
1,4,normal,17,596,737,641,721.4048793846629,75,50,True,True,737.2660000000001,2021-05-12 13:18:12.461833
1,4,normal,37,578,660,187,735.5338197527017,75,50,True,True,730.5509999999998,2021-05-12 13:18:13.973902
1,4,normal,22,567,618,384,623.4621079103364,75,50,True,True,671.83,2021-05-12 13:18:15.565923
1,4,normal,25,578,877,371,876.7856066336858,75,50,True,True,904.066,2021-05-12 13:18:17.189821
1,4,normal,18,583,883,447,875.6260617409694,75,50,True,True,739.433,2021-05-12 13:18:18.901773
1,5,normal,20,571,693,231,754.0086206403745,20,100,True,True,701.65,2021-05-12 13:18:20.461804
1,5,normal,26,573,750,678,731.5743297847458,20,100,True,True,553.0419999999999,2021-05-12 13:18:23.461915
1,5,normal,18,578,650,415,652.6813924113358,20,100,True,True,585.543,2021-05-12 13:18:24.813801
1,5,normal,22,588,906,475,891.1930206189903,20,100,True,True,478.201,2021-05-12 13:18:26.085926
1,5,normal,24,590,892,371,895.2010947267659,20,100,True,True,521.9259999999999,2021-05-12 13:18:27.693887
1,6,normal,13,575,663,200,750.4165509901817,75,50,True,True,809.539,2021-05-12 13:18:29.581841
1,6,normal,30,588,885,450,866.0652400368001,75,50,True,True,1089.3039999999999,2021-05-12 13:18:31.493815
1,6,normal,12,568,751,643,742.796068917977,75,50,True,True,640.731,2021-05-12 13:18:33.144774
1,6,normal,24,580,616,395,620.2330207268877,75,50,True,True,712.2769999999999,2021-05-12 13:18:34.893883
1,6,normal,17,585,883,347,898.1091247727082,75,50,True,True,779.0369999999999,2021-05-12 13:18:36.533852
2,4,normal,35,568,582,480,554.0333924954343,75,50,True,True,1342.389,2021-05-12 13:26:26.718098
2,4,normal,5,588,841,547,837.0047789588779,75,50,True,True,962.789,2021-05-12 13:26:29.534136
2,4,normal,32,586,822,463,799.5179797853203,75,50,True,True,814.962,2021-05-12 13:26:31.438039
2,4,normal,29,562,685,724,675.7070371100186,75,50,True,True,690.028,2021-05-12 13:26:33.078096
2,4,normal,16,573,620,291,666.5883287307092,75,50,True,True,874.8209999999998,2021-05-12 13:26:34.606035
2,5,normal,42,565,858,444,824.9224205948095,20,100,True,True,599.0799999999998,2021-05-12 13:26:36.486037
2,5,normal,24,579,619,520,597.9180545860779,20,100,True,True,676.238,2021-05-12 13:26:38.247360
2,5,normal,21,587,703,763,704.3436661176132,20,100,True,True,712.1899999999998,2021-05-12 13:26:39.718007
2,5,normal,22,578,847,579,825.0006060603835,20,100,True,True,757.79,2021-05-12 13:26:41.150048
2,5,normal,8,587,667,316,712.5461388569865,20,100,True,True,551.276,2021-05-12 13:26:42.526034
2,3,normal,15,581,849,561,834.2397736861985,20,100,True,True,607.311,2021-05-12 13:26:43.982198
2,3,normal,37,574,592,502,559.6507839715763,20,100,True,True,572.126,2021-05-12 13:26:45.229983
2,3,normal,26,586,712,772,710.7685980683164,20,100,True,True,478.9,2021-05-12 13:26:46.581604
2,3,normal,29,578,867,488,842.819079043658,20,100,True,True,769.424,2021-05-12 13:26:48.158019
2,3,normal,38,579,656,309,674.4064056635287,20,100,True,True,717.37,2021-05-12 13:26:49.685968
2,6,normal,17,570,835,452,826.4671802316168,75,50,True,True,797.242,2021-05-12 13:26:51.341950
2,6,normal,26,582,585,473,569.5278746470624,75,50,True,True,754.488,2021-05-12 13:26:53.094026
2,6,normal,29,568,625,272,665.4562344737632,75,50,True,True,839.01,2021-05-12 13:26:54.694054
2,6,normal,17,589,694,728,691.1222757226103,75,50,True,True,668.07,2021-05-12 13:26:56.526089
2,6,normal,14,573,855,534,841.9037949789749,75,50,True,True,854.909,2021-05-12 13:26:58.230077
2,2,normal,22,582,583,468,572.4657194976833,75,50,True,True,701.425,2021-05-12 13:27:00.325990
2,2,normal,36,568,834,456,805.8213201448568,75,50,True,True,1057.3429999999996,2021-05-12 13:27:02.622131
2,2,normal,28,573,708,726,696.9999999999999,75,50,True,True,609.6089999999998,2021-05-12 13:27:04.198094
2,2,normal,32,573,622,282,657.860927552321,75,50,True,True,746.7180000000001,2021-05-12 13:27:05.589963
2,2,normal,32,570,856,520,825.5155964607816,75,50,True,True,870.2579999999998,2021-05-12 13:27:07.254068
2,1,normal,32,571,600,485,574.4736721556524,20,100,True,True,520.73,2021-05-12 13:27:08.678020
2,1,normal,36,580,729,777,720.4567995376268,20,100,True,True,538.937,2021-05-12 13:27:10.013792
2,1,normal,25,572,664,307,691.7701930554683,20,100,True,True,543.362,2021-05-12 13:27:11.237999
2,1,normal,30,574,834,494,807.9702964837259,20,100,True,True,698.057,2021-05-12 13:27:12.877905
2,1,normal,7,590,885,568,878.2755831742109,20,100,True,True,538.939,2021-05-12 13:27:14.117936
3,6,normal,11,571,2668,792,2666.175163037868,75,50,True,True,1029.5819999999999,2021-05-12 15:21:29.029525
3,6,normal,16,582,2523,530,2507.5392319961816,75,50,True,True,913.56,2021-05-12 15:21:30.693450
3,6,normal,27,572,2806,586,2779.035264259884,75,50,True,True,947.188,2021-05-12 15:21:32.516938
3,6,normal,25,577,2784,495,2760.2182884692293,75,50,True,True,1043.505,2021-05-12 15:21:34.517490
3,6,normal,26,585,2587,319,2574.777077729255,75,50,True,True,943.471,2021-05-12 15:21:36.308800
3,1,normal,12,565,172,526,164.68454693747074,20,100,False,False,,2021-05-12 15:21:38.189456
3,1,normal,12,565,2710,814,2709.465814510307,20,100,True,True,1126.996,2021-05-12 15:21:38.629562
3,1,normal,27,568,2545,553,2518.044677919754,20,100,True,True,899.4029999999998,2021-05-12 15:21:40.589481
3,1,normal,30,575,2813,506,2783.855240489347,20,100,True,True,902.808,2021-05-12 15:21:42.653457
3,1,normal,21,588,2601,343,2591.606644535393,20,100,True,True,1243.618,2021-05-12 15:21:44.733542
3,1,normal,14,568,2804,622,2790.522531713371,20,100,True,True,738.8510000000001,2021-05-12 15:21:46.397641
